id,term,group,definition,variants
dhritarashtra,Dhritarashtra,Nomi ed epiteti,"Il re cieco dei Kuru, padre dei Kaurava; apre il dialogo chiedendo a Sanjaya che cosa sia accaduto a Kurukshetra.",Dhritarashtra
sanjaya,Sanjaya,Nomi ed epiteti,Colui che narra il dialogo a Dhritarashtra.,Sanjaya
duryodhana,Duryodhana,Nomi ed epiteti,Capo dei Kaurava e figlio di Dhritarashtra.,Duryodhana
bhishma,Bhishma,Nomi ed epiteti,Anziano della dinastia Kuru e guerriero di primo piano nello schieramento Kaurava.,Bhishma
drona,Drona,Nomi ed epiteti,Maestro dei principi Kuru e guerriero nello schieramento Kaurava.,Drona
kuru,Kuru,Nomi ed epiteti,Il lignaggio Kuru o i suoi membri; il contesto può riferirsi all'intera dinastia o allo schieramento Kaurava.,Kuru|Kurus
kurukshetra,Kurukshetra,Nomi ed epiteti,Il campo di battaglia in cui si svolge il dialogo.,Kurukshetra
bhima,Bhima,Nomi ed epiteti,"Uno dei Pandava, fratello di Arjuna.",Bhima
karna,Karna,Nomi ed epiteti,Guerriero alleato di Duryodhana nello schieramento Kaurava.,Karna
drupada,Drupada,Nomi ed epiteti,"Re di Panchala, padre di Draupadi e Dhrishtadyumna.",Drupada
draupadi,Draupadi,Nomi ed epiteti,Sposa dei Pandava.,Draupadi
vivasvan,Vivasvan,Nomi ed epiteti,"Divinità solare alla quale, dice Krishna, egli insegnò per primo questo yoga.",Vivasvan
manu,Manu,Nomi ed epiteti,Antico progenitore o legislatore che riceve l'insegnamento da Vivasvan.,Manu
ikshvaku,Ikshvaku,Nomi ed epiteti,Antico re che riceve l'insegnamento da Manu.,Ikshvaku
brahma,Brahma,Nomi ed epiteti,"Il dio creatore; distinto da Brahman, la realtà ultima.",Brahma
bhagavan,Bhagavan,Nomi ed epiteti,"Titolo onorifico per il Signore o il Beato, usato per Krishna.",Bhagavan
hari,Hari,Nomi ed epiteti,Epiteto di Krishna o Vishnu.,Hari
vishnu,Vishnu,Nomi ed epiteti,Nome divino associato a Krishna nel testo.,Vishnu
prajapati,Prajapati,Nomi ed epiteti,Signore delle creature; figura creatrice.,Prajapati
varuna,Varuna,Nomi ed epiteti,Divinità vedica associata all'ordine cosmico e alle acque.,Varuna
yama,Yama,Nomi ed epiteti,Divinità associata alla morte e alla disciplina.,Yama
tat,Tat,Termini sociali e rituali,"Formula sacra che significa «Quello», parte dell'espressione Om Tat Sat.",Tat
sat,Sat,Concetti,"Essere, verità o bontà; in 17.23 parte della formula sacra Om Tat Sat.",Sat
vedanta,Vedanta,Concetti,"La fine o il culmine dei Veda; nel testo, la conoscenza insegnata dalla tradizione vedica.",Vedanta
